歌曲名称,演唱者,昨日音乐指数,较前一日,昨日全站排名,较前一日1,当前时间,全站排名,音乐指数,当前收听人数,历史成绩,变化幅度,专辑,歌曲类型,平台,入V状态
神魂颠倒,王晰&刘也,318,23.74%,26607.0,3162,最近更新 23:31,27119.0,300.0,15 人正在听,歌曲成就2022/04/21综艺新歌榜 当期排名97 历史在榜11期 最高排名52022/02/17热歌榜 历史在榜1期 最高排名2572022/02/15流行指数榜 历史在榜6期 最高排名222022/02/13飙升榜 历史在榜3期 最高排名10,23.74,无,未分类,,
亲密爱人,王晰,235,5.38%,29485.0,2889,最近更新 23:33,28403.0,268.0,29 人正在听,,5.38,无,未分类,,
贝加尔湖畔,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
平凡又美好的晚上,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
黎明前的黑暗,张韶涵&王晰,"6,811",2.88%,3823.0,32,最近更新 23:34,4053.0,0.0,413 人正在听,歌曲成就2022/07/23热歌榜 当期排名289 历史在榜18期 最高排名342021/09/29飙升榜 历史在榜16期 最高排名12021/09/09流行指数榜 历史在榜18期 最高排名12021/09/09抖音排行榜 历史在榜2期 最高排名492021/09/09综艺新歌榜 历史在榜17期 最高排名12021/09/09听歌识曲榜 历史在榜3期 最高排名15,2.88,无,未分类,,
南屏晚钟,王晰,147,26.13%,30383.0,3146,最近更新 23:32,31384.0,160.0,20 人正在听,,26.13,无,未分类,,
她真漂亮,王晰&高杨,191,15.86%,28323.0,505,最近更新 23:14,30310.0,237.0,22 人正在听,歌曲成就2021/09/09流行指数榜 历史在榜7期 最高排名75,15.86,无,未分类,,
云与海,尚雯婕&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
云与海,王晰&尚雯婕,,,,,,0.0,0.0,,,0.0,无,未分类,,
Bésame Mucho,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
一生守候,王晰,122,7.58%,32635.0,2119,最近更新 23:32,32699.0,128.0,13 人正在听,歌曲成就2021/09/09流行指数榜 历史在榜3期 最高排名63,7.58,无,未分类,,
哭砂,王晰,276,6.76%,25309.0,383,最近更新 23:07,31146.0,237.0,26 人正在听,歌曲成就2021/09/09热歌榜 历史在榜1期 最高排名1612021/09/09新歌榜 历史在榜23期 最高排名92021/09/09飙升榜 历史在榜1期 最高排名62021/09/09流行指数榜 历史在榜7期 最高排名142021/09/09内地榜 历史在榜2期 最高排名182020/06/01腾讯音乐由你榜 当期排名52 历史在榜6期 最高排名9,6.76,无,企划曲,,
乌兰巴托的夜晚,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
Sound of Silence,王晰&李琦&鞠红川,288,1.03%,25764.0,2682,最近更新 23:30,27035.0,302.0,29 人正在听,歌曲成就2021/09/09流行指数榜 历史在榜7期 最高排名31,1.03,无,未分类,,
一生中最爱,王晰,,,,,,0.0,0.0,,,0.0,无,企划曲,,
谁,王晰,181,16.97%,29402.0,2469,最近更新 23:31,29566.0,207.0,24 人正在听,歌曲成就2021/09/09流行指数榜 历史在榜5期 最高排名42,16.97,无,未分类,,
我可以抱你吗,王晰,,,,,,0.0,0.0,,,0.0,无,企划曲,,
如愿,王晰&檀健次&马佳,,,,,,0.0,0.0,,,0.0,无,未分类,,
山楂树,王晰&周深&刘彬濠,549,1.08%,20999.0,5,最近更新 23:30,22573.0,532.0,30 人正在听,歌曲成就2021/09/09流行指数榜 历史在榜7期 最高排名34,1.08,无,未分类,,
月弯弯,王晰&周深,335,9.95%,25361.0,1780,最近更新 23:28,27823.0,323.0,33 人正在听,歌曲成就2021/09/09流行指数榜 历史在榜7期 最高排名34,9.95,无,未分类,,
Autumn Leaves,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
再见，我的爱人,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
至少还有你,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
云一定知道,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
下潜,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
不能靠近的朋友,王晰,,,,,,0.0,0.0,,,0.0,EP《回望》,专辑曲,TME,
当爱已成往事,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
信仰之路,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
别离的预感,王晰,,,,,,0.0,0.0,,,0.0,无,企划曲,,
小丈夫,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
不赖,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
Over the Rainbow,王晰&周深&蔡尧,113,10.32%,39356.0,9430,最近更新 23:12,33865.0,149.0,13 人正在听,歌曲成就2021/09/09流行指数榜 历史在榜7期 最高排名48,10.32,无,未分类,,
午后三点,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
罗辑,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
野兽的花,井柏然&龚俊&王晰&欧阳娜娜,,,,,,0.0,0.0,,,0.0,无,散曲,,
让她降落,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
外婆,张可盈&王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
重庆野玫瑰,王晰,137,0.72%,31875.0,703,最近更新 23:22,32970.0,155.0,12 人正在听,,0.72,无,影视OST,,
惑许,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
晚风,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
Come to Me,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
把一切给明天,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
节气歌,王晰&朱德恩,,,,,,0.0,0.0,,,0.0,无,未分类,,
游离,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
爱于此生,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
友谊地久天长,王晰&蔡程昱&仝卓,,,,,,0.0,0.0,,,0.0,无,未分类,,
滚滚长江东逝水,杨洪基&王晰,121,-,29700.0,-,最近更新 22:29,39891.0,119.0,,,0.0,无,未分类,,
YourMan,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
说了再见,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
往前,王晰&尹姝贻,,,,,,0.0,0.0,,,0.0,无,影视OST,,
神魂颠倒,一心向晰 • ♡∞王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
渔光曲,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
多年以后,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
有你在的美好,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
鸽子,王晰&金圣权&李向哲,,,,,,0.0,0.0,,,0.0,无,未分类,,
再回首,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
